,album,artist,trackNumber,id,name,uri,release_date,acousticness,danceability,duration_ms,energy,explicit,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,time_signature,valence,isHit
1185,I'm Not Alone 2019,Calvin Harris,2.0,3jFnw3ndyhIOeWc3VzrMS4,I'm Not Alone - 2019 Edit,spotify:track:3jFnw3ndyhIOeWc3VzrMS4,2019-04-05,0.00349,0.6,201313.0,0.982,0.0,0.48,11.0,0.124,-3.921,1.0,45.0,0.0337,127.994,4.0,0.212,1.0
1186,I'll Never Love Again (Winner Of The Voice 2019),Molly Hocking,1.0,4pPe9k81zusYnOJOKsTHss,I'll Never Love Again - Winner Of The Voice 2019,spotify:track:4pPe9k81zusYnOJOKsTHss,2019-04-06,0.75,0.392,210339.0,0.334,0.0,1.29e-06,7.0,0.11,-7.002,1.0,37.0,0.0431,150.934,3.0,0.15,1.0
1188,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,2.0,2Fxmhks0bxGSBdJ92vM42m,bad guy,spotify:track:2Fxmhks0bxGSBdJ92vM42m,2019-03-29,0.328,0.701,194087.0,0.425,0.0,0.13,7.0,0.1,-10.965,1.0,88.0,0.375,135.128,4.0,0.562,1.0
1190,Spectrum,Westlife,2.0,34D9vWLSPmxD1c3yx3wUAu,Better Man,spotify:track:34D9vWLSPmxD1c3yx3wUAu,2019-11-15,0.415,0.616,197013.0,0.636,0.0,0.0,11.0,0.1,-3.846,1.0,55.0,0.0394,74.855,4.0,0.584,1.0
1191,MONOPOLY,Ariana Grande,1.0,6tsOcBnaKgzK22yEiqRh8P,MONOPOLY (with Victoria Monét),spotify:track:6tsOcBnaKgzK22yEiqRh8P,2019-04-01,0.704,0.892,158586.0,0.507,1.0,3.14e-05,0.0,0.109,-8.282,1.0,69.0,0.378,143.96,4.0,0.695,1.0
1192,Snacks,Jax Jones,8.0,5naYe7rLMZcLfO1DKg48MK,All Day And Night,spotify:track:5naYe7rLMZcLfO1DKg48MK,2019-07-12,0.317,0.567,169466.0,0.765,0.0,0.0,1.0,0.14,-4.107,0.0,71.0,0.108,121.924,4.0,0.541,1.0
1193,Can't Stop Clocks,MIST,1.0,2AdvXeF37oUqsX3uwKEMtD,Can't Stop Clocks,spotify:track:2AdvXeF37oUqsX3uwKEMtD,2019-03-28,0.0602,0.631,212777.0,0.7,1.0,8.11e-06,1.0,0.253,-6.221,1.0,43.0,0.365,102.553,4.0,0.822,1.0
1194,Don't Worry Bout Me,Zara Larsson,1.0,507tQXutCPYNFkpOq8tmKF,Don't Worry Bout Me,spotify:track:507tQXutCPYNFkpOq8tmKF,2019-03-28,0.0797,0.752,208811.0,0.706,0.0,0.000752,5.0,0.129,-6.274,1.0,62.0,0.0636,125.041,4.0,0.33,1.0
1195,Ringtone,Dr Vades,1.0,4COAwTHS39iPVMQE3lZFfl,Ringtone,spotify:track:4COAwTHS39iPVMQE3lZFfl,2019-02-20,0.468,0.886,154000.0,0.564,0.0,0.000128,7.0,0.0945,-8.303,0.0,39.0,0.0994,139.975,4.0,0.726,1.0
1197,The Golden Child,YK Osiris,15.0,0PQoUlzP7ILdcrzpajHXc0,Worth It,spotify:track:0PQoUlzP7ILdcrzpajHXc0,2019-10-11,0.517,0.749,189253.0,0.535,0.0,0.0,5.0,0.0942,-4.054,0.0,72.0,0.0638,124.008,5.0,0.459,1.0
1198,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,1.0,5CLGzJsGqhCEECcpnFQA8x,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",spotify:track:5CLGzJsGqhCEECcpnFQA8x,2018-01-19,0.194,0.653,210772.0,0.809,0.0,0.0,0.0,0.165,-4.057,1.0,77.0,0.0474,92.213,4.0,0.55,1.0
1199,We All Shine,YNW Melly,9.0,6vWEAOUSxohKxhp0K1BsxL,Mixed Personalities (feat. Kanye West),spotify:track:6vWEAOUSxohKxhp0K1BsxL,2019-01-18,0.457,0.661,230400.0,0.44,1.0,0.0,2.0,0.128,-9.104,1.0,74.0,0.0803,149.937,4.0,0.352,1.0
1200,RAMMSTEIN,Rammstein,1.0,2bPGTMB5sFfFYQ2YvSmup0,DEUTSCHLAND,spotify:track:2bPGTMB5sFfFYQ2YvSmup0,2019-05-17,5.54e-05,0.521,322339.0,0.895,0.0,0.349,7.0,0.0985,-5.242,1.0,73.0,0.0442,120.117,4.0,0.237,1.0
1201,Phoenix (Deluxe Edition),Rita Ora,2.0,5Fla3zyOCcIRqrDoKLU0DP,Let You Love Me,spotify:track:5Fla3zyOCcIRqrDoKLU0DP,2018-11-23,0.275,0.475,191120.0,0.846,0.0,0.0,10.0,0.0824,-3.344,1.0,69.0,0.283,96.036,4.0,0.451,1.0
